
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2009-05-01,CA982,"New York / John F Kennedy (JFK/KJFK)","Beijing / Peking-Capital (PEK/ZBAA)",16:50:00,18:40:00,13:50:00,"Air China (CA/CCA)","Boeing 747-400 (B744)",B-2445,,1,1,1,"Trip to China 2009",1328,2292,172,237
2009-09-04,CA981,"Beijing / Peking-Capital (PEK/ZBAA)","New York / John F Kennedy (JFK/KJFK)",13:00:00,14:30:00,13:30:00,"Air China (CA/CCA)","Boeing 747-400 (B744)",,,1,1,1,,2292,1328,172,237
2011-11-24,DL1885,"New York / La Guardia (LGA/KLGA)","Orlando / Orlando (MCO/KMCO)",13:15:00,15:39:00,02:24:00,"Delta Air Lines (DL/DAL)","McDonnell Douglas MD-88 (MD88)",N916DE,,1,1,1,"Orlando Trip 2011",1605,1768,223,1189
2011-11-29,DL2076,"Orlando / Orlando (MCO/KMCO)","New York / La Guardia (LGA/KLGA)",11:51:00,14:15:00,02:24:00,"Delta Air Lines (DL/DAL)","Airbus A320-200 (A320)",N333NW,,2,1,1,,1768,1605,223,2059
2013-06-20,NH9,"New York / John F Kennedy (JFK/KJFK)","Tokyo / Narita (NRT/RJAA)",11:45:00,15:00:00,14:15:00,"All Nippon Airways (NH/ANA)","Boeing 777-300ER (B77W)",JA785A,33K,1,1,1,"Trip to Japan/China 2013",1328,2105,64,2023
2013-06-21,NH921,"Tokyo / Narita (NRT/RJAA)","Shanghai / Pudong (PVG/ZSPD)",18:50:00,21:30:00,03:40:00,"All Nippon Airways (NH/ANA)","Boeing 777-200ER (B77E)",,17K,1,1,1,,2105,3653,64,2024
2013-08-29,NH956,"Beijing / Peking-Capital (PEK/ZBAA)","Tokyo / Narita (NRT/RJAA)",10:25:00,15:00:00,03:35:00,"All Nippon Airways (NH/ANA)","Boeing 767-300ER (B763)",JA619A,,1,1,1,,2292,2105,64,2078
2013-08-29,NH1010,"Tokyo / Narita (NRT/RJAA)","New York / John F Kennedy (JFK/KJFK)",16:40:00,17:37:00,13:57:00,"All Nippon Airways (NH/ANA)","Boeing 777-300ER (B77W)",JA785A,,1,1,1,,2105,1328,64,2023
2015-03-14,DL971,"New York / La Guardia (LGA/KLGA)","Atlanta / Hartsfield-Jackson (ATL/KATL)",19:00:00,20:59:00,01:59:00,"Delta Air Lines (DL/DAL)","Airbus A319-100 (A319)",N343NB,,1,1,1,"Huntsville Trip 2015",1605,179,223,2073
2015-03-20,DL1381,"Huntsville / Huntsville (HSV/KHSV)","Atlanta / Hartsfield-Jackson (ATL/KATL)",17:49:00,19:31:00,00:42:00,"Delta Air Lines (DL/DAL)","Boeing 717-200 (B712)",N899AT,17D,2,1,1,,4527,179,223,220
